code,location,registered votes,envelopes,valid votes,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
549258,Albrechtice nad Vltavou,719,436,431,46,1,0,36,0,52,46,1,3,10,1,0,39,0,15,103,0,2,24,0,5,2,1,42,2
549266,Bernartice,1103,679,674,104,2,1,70,1,19,76,2,4,9,1,2,76,0,23,204,1,1,26,1,2,0,0,47,2
598780,Borovany,175,124,124,5,1,0,13,0,6,19,2,1,0,0,0,9,0,3,36,0,0,8,2,1,1,0,16,1
562122,Boudy,151,100,100,15,0,0,10,0,7,6,1,2,0,0,0,12,0,4,17,0,0,4,0,0,0,0,20,2
549291,Božetice,322,219,215,34,0,1,13,0,13,15,1,1,14,0,0,36,0,7,49,0,1,20,0,4,1,0,4,1
549304,Branice,236,174,173,12,0,0,10,3,3,43,0,5,0,1,0,13,0,2,46,0,0,10,0,0,3,0,21,1
549321,Cerhonice,134,104,104,7,2,0,4,0,3,9,0,4,1,0,0,11,0,15,34,0,0,4,0,0,0,0,10,0
549339,Čimelice,856,541,540,70,1,0,41,2,20,61,3,7,8,0,1,58,0,29,149,0,1,23,0,6,0,2,56,2
549347,Čížová,927,571,565,42,0,0,38,0,26,56,7,2,10,1,1,49,1,47,175,1,1,23,0,6,0,3,75,1
549363,Dobev,691,444,443,66,0,1,29,0,10,58,3,10,4,0,1,56,0,21,110,0,0,14,1,2,0,4,50,3
